NCO_Code,Occupation_title
1791,Quality Engineer
6149,VP Product Management
4331,Statistician II
3552,Automation Specialist IV
9958,Systems Administrator II
9160,Registered Nurse
9066,Administrative Assistant IV
7291,Project Manager
2475,Information Systems Manager
7680,Health Coach III
2296,Mechanical Systems Engineer
5098,Paralegal
5738,Product Engineer
2641,Programmer IV
6671,Accounting Assistant IV
7901,GIS Technical Architect
7631,Graphic Designer
8202,GIS Technical Architect
2700,Social Worker
5283,Assistant Manager
3554,Senior Cost Accountant
7345,Occupational Therapist
6658,Senior Sales Associate
1138,Senior Editor
3632,Developer II
1893,Financial Advisor
8825,Senior Developer
4634,Actuary
2897,VP Sales
4377,Electrical Engineer
9359,Assistant Media Planner
2297,Executive Secretary
2946,Recruiter
2780,Software Consultant
1207,Physical Therapy Assistant
2400,Systems Administrator II
9769,Staff Accountant IV
6803,VP Sales
6218,Internal Auditor
7223,Programmer III
9635,Graphic Designer
8881,Financial Analyst
6611,Health Coach II
4160,Software Consultant
8638,Associate Professor
6449,Account Representative IV
4002,Environmental Specialist
7501,Associate Professor
9588,Sales Associate
2972,Quality Control Specialist
9337,Software Test Engineer IV
4362,Editor
1973,Civil Engineer
9474,Accountant III
7590,VP Product Management
3624,Mechanical Systems Engineer
8448,Help Desk Technician
3489,Staff Accountant I
2582,Dental Hygienist
8252,Teacher
4629,VP Quality Control
8772,Help Desk Operator
1306,Statistician II
7238,Assistant Manager
6798,Paralegal
5479,Marketing Assistant
3362,Developer II
5825,Professor
8220,Nuclear Power Engineer
5886,Account Coordinator
8346,Structural Analysis Engineer
6813,Senior Quality Engineer
4762,Compensation Analyst
3143,Executive Secretary
6250,Senior Sales Associate
8201,Actuary
4318,Senior Editor
2430,Registered Nurse
7009,Business Systems Development Analyst
5995,Community Outreach Specialist
2741,Research Nurse
5032,Junior Executive
3251,Senior Developer
6186,Environmental Specialist
9218,Health Coach III
4638,Accounting Assistant IV
7522,Mechanical Systems Engineer
7443,Sales Associate
6084,Editor
9203,Design Engineer
3018,Web Developer I
6589,Marketing Assistant
2088,Junior Executive
5006,Staff Scientist
3469,Senior Financial Analyst
8841,Professor
7865,Project Manager
6286,Assistant Manager
6192,Civil Engineer
7186,Nurse
5541,Business Systems Development Analyst
6033,Compensation Analyst
7202,Health Coach III
7298,Internal Auditor
1984,Accountant IV
4485,Recruiting Manager
6075,Librarian
7847,Administrative Officer
4387,Executive Secretary
7083,Senior Editor
4112,Desktop Support Technician
2357,Human Resources Manager
4436,Design Engineer
6751,Environmental Tech
7524,Senior Quality Engineer
1411,Food Chemist
1349,Financial Advisor
3065,Account Executive
4105,Geologist I
7096,Tax Accountant
7678,Senior Sales Associate
5745,Structural Analysis Engineer
7137,Technical Writer
5497,Senior Editor
7196,Software Engineer II
2518,Paralegal
4144,Office Assistant II
3048,Sales Associate
2365,Software Test Engineer II
8004,Electrical Engineer
2967,Social Worker
4650,Senior Financial Analyst
7430,Software Test Engineer III
9839,Associate Professor
2720,Safety Technician I
5585,VP Product Management
8980,Administrative Officer
2317,Professor
5823,Quality Control Specialist
1860,Professor
1959,Statistician II
3866,Operator
6332,Senior Editor
8765,Quality Engineer
2896,Marketing Manager
8030,Assistant Manager
4328,Office Assistant IV
5908,Food Chemist
7737,Sales Representative
2971,Professor
9406,VP Sales
1686,Accounting Assistant II
2815,Paralegal
1427,Programmer IV
1825,Account Representative III
7455,Geological Engineer
3099,Registered Nurse
7227,Sales Associate
4444,VP Quality Control
5633,Occupational Therapist
3840,GIS Technical Architect
7081,Speech Pathologist
5658,Environmental Tech
9941,Data Coordinator
7220,Geological Engineer
6113,Health Coach II
2915,Chief Design Engineer
4164,Software Test Engineer I
7475,Nuclear Power Engineer
2031,Actuary
8658,Financial Advisor
3523,Pharmacist
7184,VP Accounting
1777,Developer IV
4642,GIS Technical Architect
4757,Budget/Accounting Analyst IV
3527,VP Accounting
4223,Desktop Support Technician
7646,Media Manager I
8189,Nurse Practicioner
6625,Nurse Practicioner
7369,Pharmacist
3188,Engineer I
9298,Geological Engineer
9943,Clinical Specialist
5809,Paralegal
6025,Geologist IV
8297,Geological Engineer
7210,Nuclear Power Engineer
3823,Information Systems Manager
5334,Librarian
7493,Technical Writer
1352,Cost Accountant
3833,Assistant Professor
7580,Professor
1786,Statistician III
7624,Human Resources Assistant III
5495,Quality Control Specialist
8821,Analog Circuit Design manager
5838,Human Resources Manager
5218,Community Outreach Specialist
8503,Director of Sales
9340,VP Product Management
1019,Technical Writer
2012,Senior Cost Accountant
9882,Physical Therapy Assistant
1667,Recruiter
9469,Account Representative III
2934,Executive Secretary
9818,Administrative Officer
3717,Chemical Engineer
6464,VP Quality Control
3004,Research Associate
8645,Administrative Assistant I
2068,Operator
2953,Senior Editor
5667,Pharmacist
7753,Financial Advisor
8678,Research Nurse
4070,Financial Advisor
7460,Internal Auditor
7850,Operator
7158,Media Manager I
9850,Software Engineer I
3437,Senior Developer
7411,Research Nurse
8724,Desktop Support Technician
7738,Sales Representative
3332,Cost Accountant
2527,Desktop Support Technician
9438,VP Marketing
6543,Technical Writer
6401,Systems Administrator III
6883,Human Resources Assistant IV
6007,Structural Analysis Engineer
8246,Editor
1717,Data Coordinator
8803,Environmental Specialist
8747,Technical Writer
4778,Recruiting Manager
2551,Paralegal
4207,Community Outreach Specialist
5324,Desktop Support Technician
1578,Nurse
3445,Cost Accountant
6151,Software Test Engineer IV
9216,Director of Sales
1450,Health Coach II
3581,Programmer Analyst II
9671,Statistician IV
3040,Biostatistician I
7115,Sales Associate
1269,Speech Pathologist
7619,Registered Nurse
3812,Environmental Tech
4309,Help Desk Operator
1134,Civil Engineer
1822,Junior Executive
3866,Compensation Analyst
5280,Developer IV
4473,Food Chemist
1702,Teacher
2446,Software Test Engineer IV
7647,Geologist III
4756,Quality Engineer
5270,Marketing Assistant
9954,Dental Hygienist
3358,Design Engineer
4016,Product Engineer
6780,Food Chemist
4604,Computer Systems Analyst I
3277,Software Engineer I
5482,Product Engineer
3953,Chief Design Engineer
6248,Automation Specialist II
5325,Quality Engineer
1577,Biostatistician I
5357,Technical Writer
1250,Computer Systems Analyst I
6065,Director of Sales
7844,Tax Accountant
1026,Software Consultant
1630,Programmer Analyst II
